2024-05-30 02:03:49 status unpacked libacl1:amd64 2.2.53-6
2024-05-30 02:03:49 install libattr1:amd64 <none> 1:2.4.48-5
2024-05-30 02:03:49 status half-installed libattr1:amd64 1:2.4.48-5
2024-05-30 02:03:49 status unpacked libattr1:amd64 1:2.4.48-5
2024-05-30 02:03:49 install libaudit-common:all <none> 1:2.8.5-2ubuntu6
2024-05-30 02:03:49 status half-installed libaudit-common:all 1:2.8.5-2ubuntu6
2024-05-30 02:03:49 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2024-05-30 02:03:49 install libaudit1:amd64 <none> 1:2.8.5-2ubuntu6
2024-05-30 02:03:49 status half-installed libaudit1:amd64 1:2.8.5-2ubuntu6
2024-05-30 02:03:49 status unpacked libaudit1:amd64 1:2.8.5-2ubuntu6
2024-05-30 02:03:49 install libblkid1:amd64 <none> 2.34-0.1ubuntu9
2024-05-30 02:03:49 status half-installed libblkid1:amd64 2.34-0.1ubuntu9
2024-05-30 02:03:49 status unpacked libblkid1:amd64 2.34-0.1ubuntu9
2024-05-30 02:03:49 install libbz2-1.0:amd64 <none> 1.0.8-2
2024-05-30 02:03:49 status half-installed libbz2-1.0:amd64 1.0.8-2
2024-05-30 02:03:49 status unpacked libbz2-1.0:amd64 1.0.8-2
2024-05-30 02:03:49 install libc-bin:amd64 <none> 2.31-0ubuntu9
2024-05-30 02:03:49 status half-installed libc-bin:amd64 2.31-0ubuntu9
2024-05-30 02:03:49 status unpacked libc-bin:amd64 2.31-0ubuntu9
2024-05-30 02:03:49 upgrade libc6:amd64 2.31-0ubuntu9 2.31-0ubuntu9
2024-05-30 02:03:49 status half-configured libc6:amd64 2.31-0ubuntu9
2024-05-30 02:03:49 status unpacked libc6:amd64 2.31-0ubuntu9
2024-05-30 02:03:49 status half-installed libc6:amd64 2.31-0ubuntu9
2024-05-30 02:03:49 status unpacked libc6:amd64 2.31-0ubuntu9
2024-05-30 02:03:49 install libcap-ng0:amd64 <none> 0.7.9-2.1build1
2024-05-30 02:03:49 status half-installed libcap-ng0:amd64 0.7.9-2.1build1
2024-05-30 02:03:49 status unpacked libcap-ng0:amd64 0.7.9-2.1build1
